∬	ದ್ವಿಗುಣಿತ ಸಮಾಕಲನ
∭	ತ್ರಿಗುಣಿತ ಸಮಾಕಲನ
∮	ರೇಖಾ ಸಮಾಕಲನ
∈	ಸದಸ್ಯ
∉	ಸದಸ್ಯ ಅಲ್ಲ
∋	ಒಳಗೊಂಡಿದೆ
∌	ಒಳಗೊಂಡಿಲ್ಲ
∪	ಒಕ್ಕೂಟ
∩	ಛೇದನ
∖	ಗಣ ವ್ಯತ್ಯಾಸ
⊆	ಉಪಗಣ
⊂	ಶುದ್ಧ ಉಪಗಣ
⊇	ಸೂಪರ್‌ಸೆಟ್
⊃	ಶುದ್ಧ ಸೂಪರ್‌ಸೆಟ್
⊈	ಉಪಗಣ ಅಲ್ಲ
⊉	ಸೂಪರ್‌ಸೆಟ್ ಅಲ್ಲ
∅	ಖಾಲಿ ಗಣ
∀	ಎಲ್ಲದಕ್ಕೂ
∃	ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ
∄	ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ
¬	ಅಲ್ಲ
∧	ಮತ್ತು
∨	ಅಥವಾ
⊕	ನೇರ ಮೊತ್ತ
⊗	ನೇರ ಗುಣಲಬ್ಧ
⊥	ಲಂಬ
∥	ಸಮಾನಾಂತರ
∠	ಕೋನ
∟	ಲಂಬ ಕೋನ
∂	ಭಾಗಶಃ ಅವಕಲನ
∇	ನಾಬ್ಲಾ
∝	ಅನುಪಾತದಲ್ಲಿ
∴	ಆದ್ದರಿಂದ
∵	ಏಕೆಂದರೆ
∶	ಅನುಪಾತ
ℝ	ವಾಸ್ತವ ಸಂಖ್ಯೆಗಳು
ℂ	ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳು
ℕ	ನೈಸರ್ಗಿಕ ಸಂಖ್ಯೆಗಳು
ℤ	ಪೂರ್ಣಾಂಕಗಳು
ℚ	ಭಾಗಲಬ್ಧ ಸಂಖ್ಯೆಗಳು
⟹	ಸೂಚಿಸುತ್ತದೆ
⟸	ಹಿಂದೆ ಸೂಚಿಸುತ್ತದೆ
⟺	ಎರಡು ಕಡೆ ಸೂಚಿಸುತ್ತದೆ
⟷	ಸಮಾನ
→	ಬಲ ಬಾಣ
←	ಎಡ ಬಾಣ
↔	ಎರಡು ಕಡೆ ಬಾಣ
↑	ಮೇಲಿನ ಬಾಣ
↓	ಕೆಳಗಿನ ಬಾಣ
×	ಗುಣಿಸಿ
÷	ಭಾಗಿಸಿ
